geoid,geography_name,title,range_min,range_max,estimate,margin_of_error,proration_available_units
0550000US08013,Boulder County (Unincorporated),VALUE,300000,399999,776,-791,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,400000,499999,1412,-965,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,500000,749999,4527,-1285,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,750000,999999,3410,-761,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,1000000,1499999,2051,-458,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,1500000,1999999,1002,-78,0.2161574927574401
0550000US08013,Boulder County (Unincorporated),VALUE,2000000,5252000,790,-273,0.2161574927574401
0550000US08014,NA,VALUE,0,10000,0,0,NA
0550000US08014,NA,VALUE,10000,14999,0,0,NA
0550000US08014,NA,VALUE,15000,19999,0,0,NA
0550000US08014,NA,VALUE,20000,24999,0,0,NA
0550000US08014,NA,VALUE,25000,29999,0,0,NA
0550000US08014,NA,VALUE,30000,34999,0,0,NA
0550000US08014,NA,VALUE,35000,39999,0,0,NA
0550000US08014,NA,VALUE,40000,49999,0,0,NA
0550000US08014,NA,VALUE,50000,59999,0,0,NA
0550000US08014,NA,VALUE,60000,69999,0,0,NA
0550000US08014,NA,VALUE,70000,79999,0,0,NA
0550000US08014,NA,VALUE,80000,89999,0,0,NA
0550000US08014,NA,VALUE,90000,99999,0,0,NA
0550000US08014,NA,VALUE,100000,124999,0,0,NA
0550000US08014,NA,VALUE,125000,149999,0,0,NA
0550000US08014,NA,VALUE,150000,174999,0,0,NA
0550000US08014,NA,VALUE,175000,199999,0,0,NA
0550000US08014,NA,VALUE,200000,249999,0,0,NA
0550000US08014,NA,VALUE,250000,299999,0,0,NA
0550000US08014,NA,VALUE,300000,399999,0,0,NA
0550000US08014,NA,VALUE,400000,499999,0,0,NA
0550000US08014,NA,VALUE,500000,749999,0,0,NA
0550000US08014,NA,VALUE,750000,999999,0,0,NA
0550000US08014,NA,VALUE,1000000,1499999,0,0,NA
0550000US08014,NA,VALUE,1500000,1999999,0,0,NA
